Class	Real	Text
s	a	     В эту минуту Левин вспомнил о своих грехах и о внутренней борьбе, которую он пережил
s	a	  И он неожиданно прибавил:    -- А впрочем, может быть, ты и прав
a	a	  Очень может быть
a	a	  Но я не знаю, решительно не знаю
s	a	     -- Вот видишь ли, -- сказал Степан Аркадьич, -- ты очень цельный человек
s	a	  Это твое качество и твой недостаток
s	a	  Ты сам цельный характер и хочешь, чтобы вся жизнь слагалась из цельных явлений, а этого не бывает
a	a	  Ты вот презираешь общественную служебную деятельность, потому что тебе хочется, чтобы дело постоянно соответствовало цели, а этого не бывает
s	a	  Ты хочешь тоже, чтобы деятельность одного человека всегда имела цель, чтобы любовь и семейная жизнь всегда были одно
a	a	  А этого не бывает
s	a	  Все разнообразие, вся прелесть, вся красота жизни слагается из тени и света
s	a	     Левин вздохнул и ничего не ответил
s	a	  Он думал о своем и не слушал Облонского
a	a	     И вдруг они оба почувствовали, что хотя они и друзья, хотя они обедали вместе и пили вино, которое должно было бы еще более сблизить их, но что каждый думает только о своем, и одному до другого нет дела
s	a	  Облонский уже не раз испытывал это случающееся после обеда крайнее раздвоение вместо сближения и знал, что надо делать в этих случаях
s	a	     -- Счет! -- крикнул он и вышел в соседнюю залу, где тотчас же встретил знакомого адъютанта и вступил с ним в разговор об актрисе и ее содержателе
a	a	  И тотчас же в разговоре с адъютантом Облонский почувствовал облегчение и отдохновение от разговора с Левиным, который вызывал его всегда на слишком большое умственное и душевное напряжение
a	a	     Когда татарин явился со счетом в двадцать шесть рублей с копейками и с дополнением на водку, Левин, которого в другое время, как деревенского жителя, привел бы в ужас счет на его долю в четырнадцать рублей, теперь не обратил внимания на это, расплатился и отправился домой, чтобы переодеться и ехать к Щербацким, где решится его судьба
s	a	     XII     Княжне Кити Щербацкой было восемнадцать лет
s	a	  Она выезжала первую зиму
s	a	  Успехи ее в свете были больше, чем обеих ее старших сестер, и больше, чем даже ожидала княгиня
a	a	  Мало того, что юноши, танцующие на московских балах, почти все были влюблены в Кити, уже в первую зиму представились две серьезные партии: Левин и, тотчас же после его отъезда, граф Вронский
a	a	     Появление Левина в начале зимы, его частые посещения и явная любовь к Кити были поводом к первым серьезным разговорам между родителями Кити о ее будущности и к спорам между князем и княгинею
s	a	  Князь был на стороне Левина, говорил, что он ничего не желает лучшего для Кити
a	a	  Княгиня же, со свойственною женщинам привычкой обходить вопрос, говорила, что Кити слишком молода, что Левин ничем не показывает, что имеет серьезные намерения, что Кити не имеет к нему привязанности, и другие доводы; но не говорила главного, того, что она ждет лучшей партии для дочери, и что Левин несимпатичен ей, и что она не понимает его
s	a	"  Когда же Левин внезапно уехал, княгиня была рада и с торжеством говорила мужу: ""Видишь, я была права"""
s	a	  Когда же появился Вронский, она еще более была рада, утвердившись в своем мнении, что Кити должна сделать не просто хорошую, но блестящую партию
s	a	     Для матери не могло быть никакого сравнения между Вронским и Левиным
