prevword,nextword,prevtag,nexttag,class
на,я,prep,pronoun,9
потушить,и,verb,conj,3
зажечь,все,verb,*,3
гасить,*,verb,*,3
чуть,приходить,adv,verb,2
лунный,чтобы,adj,*,1
пасмурный,только,adj,adv,1
рассекать,молния,verb,noun,1
вбирать,казаться,verb,verb,1
погаснуть,*,verb,*,3
а,*,conj,*,1
дневной,*,adj,*,2
появиться,*,verb,*,1
бледный,в,adj,prep,1
чуть,*,adv,*,2
некоторый,*,pronoun,*,7
быть,такой,verb,pronoun,9
ослепительный,ударить,adj,verb,1
погаснуть,стать,verb,verb,3
погаснуть,и,verb,conj,3
мой,*,pronoun,*,8
*,в,*,prep,3
на,в,prep,prep,10
на,в,prep,prep,9
в,президентский,prep,adj,11
проливать,на,verb,prep,7
на,дочку,prep,noun,9
выключать,родитель,verb,noun,3
тут,гаснуть,adv,verb,3
на,ее,prep,pronoun,9
красный,и,adj,conj,1
зеленый,подросток,adj,noun,1
на,ржавый,prep,adj,4
гасить,и,verb,conj,3
верхний,и,ad,conj,3
на,девочка,prep,noun,9
гаснуть,в,verb,prep,3
в,новый,prep,adj,9
неоновый,сглаживать,adj,verb,1
увидеть,в,verb,prep,9
и,*,conj,*,7
разгонять,*,verb,*,7
есть,есть,verb,verb,7
тепло,в,noun,prep,7
ты,окаменеть,pronoun,verb,7
в,на,prep,prep,10
тот,мы,pronoun,pronoun,9
проливать,на,verb,prep,7
и,Христов,conj,adj,7
чтобы,из,conj,prep,1
,фонарь,*,noun,1
почему,неестественный,adv,adj,1
на,маленький,prep,adj,9
в,книга,prep,noun,10
излучать,а,verb,conj,1
зеленый,*,adj,*,1
воспринимать,*,verb,*,1
на,*,prep,*,4
измерять,шум,verb,noun,1
здания,литься,noun,verb,1
новый,причалить,adj,verb,9
на,морской,prep,adj,9
в,в,prep,prep,10
что,неестественный,adv,adj,1
проливать,на, verb,prep,7
старый,из,adj,prep,9
новый,гонщик,adj,noun,9
в,научно-популярный,prep,adj,10
на,без,prep,prep,9
большой,и,adj,conj,10
высший,*,adj,*,11
*,приниматься,*,verb,11
весь,сейчас,adv,adv,11
увидеть,2-й,verb,num,9
на,в,prep,prep,9
проливать,на,verb,prep,7
лунный,*,adj,*,1
появляться,не,verb,neg,9
сознание,*,noun,*,7
красный,или,adj,conj,1
начинать,погасить,verb,verb,3
в,*,prep,*,10
на,головной,prep,adj,4
нести,знания,verb,noun,7
