prevword,nextword,prevtag,nexttag,class,gr1,gr2,gr3,gr4,gr5,gr6,gr7,gr8,gr9,gr10,gr11
на,я,prep,pronoun,9,0,0,0,1,0,0,0,0,1,0,0
потушить,и,verb,conj,3,0,0,0,0,0,0,0,0,0,0,0
зажечь,все,verb,*,3,0,0,1,0,0,0,0,0,0,0,0
гасить,*,verb,*,3,0,0,1,0,0,0,0,0,0,0,0
чуть,приходить,adv,verb,2,0,0,0,0,0,0,0,0,0,0,0
лунный,чтобы,adj,*,1,1,0,0,0,0,0,0,0,0,0,0
пасмурный,только,adj,adv,1,0,0,0,0,0,0,0,0,0,0,0
рассекать,молния,verb,noun,1,0,0,0,0,0,0,0,0,0,0,0
вбирать,казаться,verb,verb,1,0,0,0,0,0,0,0,0,0,0,0
погаснуть,*,verb,*,3,0,0,1,0,0,0,0,0,0,0,0
а,*,conj,*,1,0,0,0,0,0,0,0,0,0,0,0
дневной,*,adj,*,2,0,1,0,0,0,0,0,0,0,0,0
появиться,*,verb,*,1,0,0,0,0,0,0,0,0,0,0,0
бледный,в,adj,prep,1,1,0,0,0,0,0,0,0,0,0,0
чуть,*,adv,*,2,0,0,0,0,0,0,0,0,0,0,0
некоторый,*,pronoun,*,7,0,0,0,0,0,0,0,0,0,0,0
быть,такой,verb,pronoun,9,0,0,0,0,0,0,0,0,0,0,0
ослепительный,ударить,adj,verb,1,1,0,0,0,0,0,0,0,0,0,0
погаснуть,стать,verb,verb,3,0,0,1,0,0,0,0,0,0,0,0
погаснуть,и,verb,conj,3,0,0,1,0,0,0,0,0,0,0,0
мой,*,pronoun,*,8,0,0,0,0,0,0,0,1,0,0,0
,в,*,prep,3,0,0,0,0,0,0,0,0,0,0,0
на,в,prep,prep,10,0,0,0,1,0,0,0,0,1,0,0
на,в,prep,prep,9,0,0,0,1,0,0,0,0,1,0,0
в,президентский,prep,adj,11,0,0,0,0,0,0,0,0,0,1,0
проливать,на,verb,prep,7,0,0,0,0,0,0,1,0,0,0,0
на,дочку,prep,noun,9,0,0,0,1,0,0,0,0,1,0,0
выключать,родитель,verb,noun,3,0,0,0,0,0,0,0,0,0,0,0
тут,гаснуть,adv,verb,3,0,0,0,0,0,0,0,0,0,0,0
на,ее,prep,pronoun,9,0,0,0,1,0,0,0,0,1,0,0
красный,и,adj,conj,1,1,0,0,0,0,0,0,0,0,0,0
зеленый,подросток,adj,noun,1,1,0,0,0,0,0,0,0,0,0,0
на,ржавый,prep,adj,4,0,0,0,1,0,0,0,0,1,0,0
гасить,и,verb,conj,3,0,0,1,0,0,0,0,0,0,0,0
верхний,и,ad,conj,3,0,0,1,0,0,0,0,0,0,0,0
на,девочка,prep,noun,9,0,0,0,1,0,0,0,0,1,0,0
гаснуть,в,verb,prep,3,0,0,1,0,0,0,0,0,0,0,0
в,новый,prep,adj,9,0,0,0,0,0,0,0,0,0,1,0
неоновый,сглаживать,adj,verb,1,0,0,0,0,0,0,0,0,0,0,0
увидеть,в,verb,prep,9,0,0,0,0,0,0,0,0,1,0,0
и,*,conj,*,7,0,0,0,0,0,0,0,0,0,0,0
разгонять,*,verb,*,7,0,0,0,0,0,0,0,0,0,0,0
есть,есть,verb,verb,7,0,0,0,0,0,0,0,0,0,0,0
тепло,в,noun,prep,7,0,0,0,0,0,0,0,0,0,0,0
ты,окаменеть,pronoun,verb,7,0,0,0,0,0,0,0,0,0,0,0
в,на,prep,prep,10,0,0,0,0,0,0,0,0,0,1,0
тот,мы,pronoun,pronoun,9,0,0,0,0,0,0,0,0,0,0,0
проливать,на,verb,prep,7,0,0,0,0,0,0,1,0,0,0,0
и,Христов,conj,adj,7,0,0,0,0,0,0,0,0,0,0,0
чтобы,из,conj,prep,1,0,0,0,0,0,0,0,0,0,0,0
,фонарь,*,noun,1,0,0,0,0,0,0,0,0,0,0,0
почему,неестественный,adv,adj,1,0,0,0,0,0,0,0,0,0,0,0
на,маленький,prep,adj,9,0,0,0,1,0,0,0,0,1,0,0
в,книга,prep,noun,10,0,0,0,0,0,0,0,0,0,1,0
излучать,а,verb,conj,1,0,0,0,0,0,0,0,0,0,0,0
зеленый,*,adj,*,1,1,0,0,0,0,0,0,0,0,0,0
воспринимать,*,verb,*,1,0,0,0,0,0,0,0,0,0,0,0
на,*,prep,*,4,0,0,0,1,0,0,0,0,1,0,0
измерять,шум,verb,noun,1,0,0,0,0,0,0,0,0,0,0,0
здания,литься,noun,verb,1,0,0,0,0,0,0,0,0,0,0,0
новый,причалить,adj,verb,9,0,0,0,0,0,0,0,0,1,0,0
на,морской,prep,adj,9,0,0,0,1,0,0,0,0,1,0,0
в,в,prep,prep,10,0,0,0,0,0,0,0,0,0,1,0
что,неестественный,adv,adj,1,0,0,0,0,0,0,0,0,0,0,0
проливать,на, verb,prep,7,0,0,0,0,0,0,1,0,0,0,0
старый,из,adj,prep,9,0,0,0,0,0,0,0,0,1,0,0
новый,гонщик,adj,noun,9,0,0,0,0,0,0,0,0,1,0,0
в,научно-популярный,prep,adj,10,0,0,0,0,0,0,0,0,0,1,0
на,без,prep,prep,9,0,0,0,1,0,0,0,0,1,0,0
большой,и,adj,conj,10,0,0,0,0,0,0,0,0,0,0,0
высший,*,adj,*,11,0,0,0,0,0,0,0,0,0,0,1
,приниматься,*,verb,11,0,0,0,0,0,0,0,0,0,0,0
весь,сейчас,adv,adv,11,0,0,0,0,0,0,0,0,0,0,0
